Medicine Name,Category Name,Item Type,Opening Stock,Purchase Qty,Closing Quantity
ABDOMINAL BELT,ORTH,GENERAL SURGERY,0::0,0::0,0
ABGEL,GENERAL MEDICINE,XXL,1::0,2::0,1
ABSOLUT GOLD STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOX,1::0,8::0,3
ABSOLUT WOMAN CAP,GENERAL MEDICINE,STRIP,10::3,703::0,14
ABSORBENT COTTON 200GM,HOSPITAL CPMH,STRIP,7::0,137::0,7
ABSORBENT COTTON 20GM,HOSPITAL CPMH,PACKET,0::0,7::0,0
ABSORBENT COTTON WOOL 20 GM,HOSPITAL CPMH,PACKET,6::0,17::0,5
ABZ SYP,PED,PACKET,3::0,4::0,3
ACECLOWAL MR TAB 10'S,GENERAL MEDICINE,BOTTLE,1::0,3::0,0
ACECLOWAL SP,GENERAL MEDICINE,STRIP,5::3,40::0,5
ACEMIZ MR TABLET,GENERAL MEDICINE,TAB,1::3,20::0,0
ACEMIZ S TABLET,GENERAL MEDICINE,STRIP,0::1,3::0,0
ACICA MR,GENERAL MEDICINE,STRIP,0::9,125::0,0
ACICA SP,GENERAL MEDICINE,TAB,23::3,391::0,22
ACILOC 150MG STRIP OF 30 TABLETS,GENERAL MEDICINE,TAB,8::7,766::0,14
ACILOC INJECTION,GENERAL MEDICINE,STRIP,5::16,13::0,5
ACIMOL MR TAB,GENERAL MEDICINE,AMPOULE,0::0,36::0,0
ACINIL O SUGAR FREE REFRESHING MINT FLAVOUR SUSPENSION 120ML,GENERAL MEDICINE,STRIP,3::0,8::0,0
ACIREST PLUS,GENERAL MEDICINE,BOTTLE,0::0,13::0,2
ACIVIR DT 200MG TABLET,GENERAL MEDICINE,TAB,7::1,20::0,7
ACIVIR DT 400MG TABLET,GENERAL MEDICINE,STRIP,2::0,4::0,2
ACNESTAR GEL,GENERAL MEDICINE,STRIP,4::5,11::0,3
AD 10 SACHET OF 1GM POWDER FOR ORAL SUSPENSION,PED,TUBE,0::0,1::0,0
AD,GENERAL SURGERY,DYPER,0::0,1::0,0
AD 10 SACHET OF 1GM POWDER FOR ORAL SUSPENSION,PED,SACHET,0::0,15::0,5
AD 100MG CAPSULE,GENERAL MEDICINE,STRIP,1::0,100::0,2
ADHESIVE TAPE 5CM*5M,HOSPITAL CPMH,PACKET,0::0,2::0,0
ADICEF 1GM INJ,GENERAL MEDICINE,INJECTION,0::0,100::0,0
ADRENALINE INJ (AQUA FINA),GENERAL MEDICINE,AMPOULE,6::0,70::0,6
ADRENALINE TARTARATE INJ 1ML,GENERAL MEDICINE,INJECTION,11::0,20::0,6
ADULT DIAPER PULL UPS LARGE,PED,DIAPER,1::0,74::0,1
ADULT DIAPER PULL UPS MEDIUM DIAPER 1,PED,PACKET,1::0,1::0,0
ADULT DIAPER PULL UPS XL DIAPER 1,PED,PACKET,1::0,111::0,2
ADVANCED AD LINE EXTENSION LINE WITH 3 WAY 200 CM STOP COCK,HOSPITAL CPMH,PACKET,1::0,99::0,9
AEKLING DISPOSABLE SKIN BLADE RAZOR 1'S,HOSPITAL CPMH,DIAPER,0::0,4::0,0
AEROCORT BOX OF 60 ROTACAPS,GENERAL MEDICINE,BOX,0::0,0::0,0
AF 400MG STRIP OF 1 TABLETS,GENERAL MEDICINE,PACKET,0::0,0::0,0
AF KIT,GENERAL MEDICINE,BOX,0::0,2::0,0
AFICARD INJ,GENERAL MEDICINE,STRIP,0::0,4::0,0
AGUMERZ 1.2GM INJ 1'S,GENERAL MEDICINE,STRIP,0::0,1::0,0
ALAMIN BOTTLE OF 200ML LIQUID,GENERAL MEDICINE,INJECTION,1::0,10::0,1
ALBUCEL 20% INJECTION 100ML,GENERAL MEDICINE,BOX,1::0,0::0,1
ALBUMIN 20% BOTTLE OF 100ML SOLUTION FOR INFUSION,GENERAL MEDICINE,INJ,0::0,25::0,0
ALBUREL 20% BOTTLE OF 100ML INFUSION,GENERAL MEDICINE,MASK,1::0,1::0,1
ALEX 5MG SUGAR FREE STRIP OF 10 LOZENGES,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
ALEX COUGH LOZENGES,GENERAL MEDICINE,VIAL,0::0,1::0,0
ALFA SOOTHER NIPPLE,PED,BOTTLE,0::0,1::0,0
ALITE HAND SANITIZER LEMON 55ML,HOSPITAL CPMH,BOTTLE,1::0,5::0,1
ALKASTON B6 BOTTLE OF 200ML SOLUTION,GENERAL MEDICINE,STRIP,0::0,2::0,0
ALKEM ORS APPLE FLAV LIQUID,PED,STRIP,2::8,5::0,2
ALKEM ORS ORANGE FLAV LIQUID,PED,PACKET,6::0,15::0,6
ALLEGRA 120MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
ALLEGRA 180MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
ALLEGRA M TABLET,GENERAL MEDICINE,IV,1::0,100::0,2
ALLEGRA NASAL DUO 70MD BOTTLE OF 7GM NASAL SPRAY,GENERAL MEDICINE,BOTTLE,1::0,10::0,1
ALLEGRA NASAL SPRAY 120MD,GENERAL MEDICINE,BOTTLE,30::0,56::0,30
ALLEGRA RASPBERRY VANILLA SUSP 100ML,GENERAL MEDICINE,STRIP,1::7,8::0,0
ALLEGRA SUSP 60ML,GENERAL MEDICINE,STRIP,0::0,0::0,0
ALLERCET COLD TABLET,GENERAL MEDICINE,STRIP,2::5,29::0,1
ALLERCET DC TABLET,GENERAL MEDICINE,BOTTLE,0::0,3::0,0
ALLOPURINOL 100,GENERAL MEDICINE,BOTTLE,1::0,25::0,1
ALMOX CV 625MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,3::0,7::0,2
ALOESOFT LOTION 100ML,GENERAL MEDICINE,BOTTLE,0::0,4::0,0
ALTUM PLUS STRIP OF 1 TABLET,GENERAL MEDICINE,STRIP,20::5,707::0,10
AMBRODIL 30MG TABLET,GENERAL MEDICINE,STRIP,1::0,6::0,3
AMIFRU 40MG TABLET,GENERAL MEDICINE,TAB,0::0,1::0,0
AMIJECT 500MG INJECTION,GENERAL MEDICINE,STRIP,0::0,10::0,0
ALOESOFT LOTION 100ML,GENERAL MEDICINE,BOTTLE,0::0,2::0,0
ALTUM PLUS STRIP OF 1 TABLET,ORTH,STRIP,7::0,24::0,7
AMBRODIL 30MG TABLET,PED,STRIP,0::0,5::0,0
AMIFRU 40MG TABLET,GENERAL MEDICINE,INJ,8::0,10::0,0
AMIJECT 500MG INJECTION,GENERAL MEDICINE,STRIP,0::0,1::0,0
AMIJET 500MG INJ,GENERAL MEDICINE,VIAL,0::0,30::0,0
AMINO SEAL CAPSULE 10,HOSPITAL CPMH,VIAL,0::0,20::0,0
AMINOPHYLLINE 25MG INJ (TORQUE),ENT,STRIP,2::0,3::0,0
AMINORICH CAP,GENERAL MEDICINE,VIAL,20::0,20::0,20
AMITAZ 500,GENERAL MEDICINE,STRIP,0::5,16::0,0
AMIZ 500MG INJ,GENERAL MEDICINE,INJ,7::0,75::0,1
AMLIP 10MG TABLET,GENERAL MEDICINE,INJECTION,3::0,20::0,3
AMLOKIND 5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,1::1,1::0,1
AMLOKIND AT 5/50MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,1::5,17::0,1
AMLOPRESS AT STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,0::0,3::0,2
AMLOSAFE 2.5MG TABLET,GENERAL MEDICINE,STRIP,0::0,2::0,0
AMLOSAFE 5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,3::0,3::0,3
AMLOVAS AT 25MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,1::14,31::0,1
AMOXYCLAV 1.2GM INJ,GENERAL MEDICINE,STRIP,0::0,1::0,0
AMOXYCLAV 625MG TAB 10'S,GENERAL MEDICINE,VIAL,3::0,47::0,1
AMPIROK 375,GENERAL MEDICINE,STRIP,1::3,28::0,4
ANAFORTAN DROPS,GENERAL MEDICINE,TAB,10::1,134::0,5
ANAFORTAN STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,1::0,13::0,1
ANAFORTAN SYP,GENERAL MEDICINE,STRIP,1::0,52::0,4
ANAKKU BREST PUMP,PED,BOTTLE,2::0,38::0,2
ANAWIN 0.5% INJ 20ML,ORTH,PACKET,0::0,2::0,0
ANAWIN 0.50MG INJ 20ML,ORTH,VIAL,0::0,47::0,22
ANAWIN HEAVY INJ 4ML,ORTH,VIAL,7::0,89::0,0
ANGEL FEEDING BOTTLE 125ML,PED,AMPOULE,0::0,200::0,2
ANGIONOX 60MG INJ,GENERAL MEDICINE,BOTTLE,1::0,12::0,1
ANKLE BINDER LARGE 1,ORTH,PRE-FILLED SYRINGE,0::0,10::0,1
ANKLE BINDER MEDIUM 1,ORTH,BANDAGE,0::0,20::0,0
ANKLE BINDER XL 1,ORTH,BANDAGE,0::0,50::0,0
ANOBLISS CREAM,GENERAL MEDICINE,GRIP,0::0,4::0,4
ANOEASE CAP 4'S,GENERAL MEDICINE,GRIP,0::0,3::0,0
ANOVATE OINT 20GM,GENERAL SURGERY,PACKET,1::0,18::0,3
ANTI D 300MCG VIAL OF 1ML INJECTION,OBGY,PACKET,3::0,18::0,3
APDROPS LP EYE DROPS 5ML,ENT,PACKET,1::0,5::0,4
APIGY,GENERAL MEDICINE,TUBE,5::0,30::0,2
APTIMUST SYP 200ML,PED,STRIP,7::0,191::0,0
APTIVATE PINEAPPLE FLAVOUR SYRUP 175ML,PED,TUBE,1::0,15::0,0
ARACHITOL 3LAC INJ 1*6,GENERAL MEDICINE,SPRAY,0::0,4::0,0
ARACHITOL 6LAC INJ 1*6,GENERAL MEDICINE,INJ,0::0,4::0,1
ARGIHOPE 1000MG TABLET,GENERAL MEDICINE,VIAL,1::0,8::0,1
ARKAMIN 100MCG STRIP OF 30 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
ASKPRO,GENERAL MEDICINE,TAB,0::0,2::0,0
ASTHAKIND DX EXP 60ML,PED,BOTTLE,4::0,53::0,5
ASTHALIN 100MCG INHALER,ENT,BOTTLE,0::0,1::0,0
ATARAX 10MG STRIP OF 15 TABLETS,ENT,AMPOULE,7::0,12::0,2
ATIVAN 2MG STRIP OF 10 TABLETS,GENERAL MEDICINE,AMPOULE,18::0,254::0,1
AUGMENTIN 1.2GM INJ 20ML,GENERAL MEDICINE,STRIP,19::5,876::0,9
AVENT BREAST PUMP,PED,SACHET,2::0,214::0,14
AXONE 1GM INJ,GENERAL MEDICINE,STRIP,0::0,2::0,0
AZEE 100MG PEPPERMINT FLAV DRY SYP,PED,STRIP,1::5,41::0,2
B-FIT ADULT DIAPER MEDIUM 10 NO'S,PED,CAP,0::0,2::0,0
B PROTIN CHOCOLATE NUTRITION SUPPLEMENT BOTTLE OF 200 G,GENERAL MEDICINE,BOTTLE,0::0,2::0,0
BABY CARE OIL,PED,BOTTLE,0::0,1::0,0
BABY CARE SHAMPOO,PED,BOTTLE,0::0,9::0,0
BABY CARE WET WIPES 50'S,PED,BOTTLE,0::0,28::0,2
BANDY 400MG STRIP OF 1 TABLET,GENERAL MEDICINE,BOTTLE,2::0,86::0,1
BANDY 400MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
BD CORD CLAMP,PED,TAB,1::6,10::0,1
BECOZULES CAP 15'S,GENERAL MEDICINE,POWDER,0::0,75::0,0
BENADRYL BOTTLE OF 100ML SYRUP,ENT,STRIP,1::0,13::0,1
BETADINE 10% OINT,GENERAL SURGERY,BOTTLE,0::0,3::0,0
BISLERI WATER 1LTR,HOSPITAL CPMH,BOTTLE,0::0,40::0,5
BONEWAX W 810,GENERAL SURGERY,BOTTLE,4::0,4::0,4
BRO ZEDEX LIQUICAP,ENT,BOX,1::0,1::0,1
BRO ZEDEX SYP,ENT,PACKET,11::0,530::0,0
BUDESAL 0.5MG RESPULES 5*2ML,ENT,STRIP,1::0,19::0,3
CANDID 1% LOTION 30ML,GENERAL SURGERY,STRIP,0::0,0::0,0
CALCINASE NASAL SPRAY,ENT,BOTTLE,3::0,3::0,3
CAPRIN 5000 IU INJ,GENERAL MEDICINE,BOTTLE,1::0,9::0,0
CHOLTRAN SACH 5GM,GENERAL MEDICINE,BOTTLE,0::0,10::0,0
CHYMORAL FORTE DS STRIP OF 10 TABLETS,ORTH,DROP,0::0,2::0,-1
ATENEX 25MG TABLET,GENERAL MEDICINE,STRIP,0::0,3::0,0
ATIVAN 2MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::0,4::0,0
ATM 100MG BOTTLE OF 15ML SUSPENSION,PED,BOTTLE,4::0,90::0,3
ATM 200MG BOTTLE OF 15ML SUSPENSION,PED,BOTTLE,5::0,62::0,5
ATNEX 25,GENERAL MEDICINE,TAB,0::0,3::0,0
ATOCOR 40MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,0::13,3::0,0
ATOCOR 80 STRIP OF 14 TABLETS,GENERAL MEDICINE,STRIP,0::0,1::0,0
ATORMAC GOLD,GENERAL MEDICINE,CAP,0::0,2::0,0
ATORSTIN 20MG TABLET 10'S,GENERAL MEDICINE,STRIP,0::5,1::0,0
ATOWAY 10 MG,GENERAL MEDICINE,TAB,0::5,1::0,0
ATROPINE SULPHATE INJ 1ML,GENERAL MEDICINE,INJECTION,8::0,60::0,2
AUGMENTIN 1.2GM INJ 20ML,GENERAL MEDICINE,DRY VIAL,2::0,50::0,2
AUGMENTIN DUO 625MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::3,13::0,0
AUGMENTIN DUO SYP,GENERAL MEDICINE,BOTTLE,0::0,15::0,0
AUGTRAM,GENERAL MEDICINE,TAB,0::0,13::0,0
AUTRIN STRIP OF 30 CAPSULES,GENERAL MEDICINE,STRIP,0::25,3::0,0
AVENT BREAST PUMP,PED,BOX,1::0,2::0,0
AVIL INJ 2ML,GENERAL MEDICINE,INJ,18::0,263::0,97
AVIL 22.75MG/ML INJECTION 2ML,GENERAL MEDICINE,AMPOULE,0::0,0::0,0
AVIL 25MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,4::12,53::0,6
AXALIN BOTTLE OF 100ML EXPECTORANT,ENT,BOTTLE,0::0,1::0,0
AXONE 1GM INJ,GENERAL MEDICINE,INJECTION,8::0,60::0,8
AZEE 100MG PEPPERMINT FLAV DRY SYP,PED,BOTTLE,0::0,1::0,0
AZEE 500MG STRIP OF 3 TABLETS,GENERAL MEDICINE,STRIP,0::1,33::0,0
AZEE 500MG STRIP OF 5 TABLETS,GENERAL MEDICINE,STRIP,2::1,12::0,3
AZIMRIN 500,GENERAL MEDICINE,TAB,0::0,3::0,0
B-FIT ADULT DIAPER MEDIUM 10 NO'S,PED,FILTER SET,0::0,1::0,0
B-PROTIN DRY FRUIT CHOCOLATE POWDER 200GM,PED,PACKET,0::0,1::0,0
B BACT 2% TUBE OF 15GM OINTMENT,GENERAL SURGERY,BOTTLE,0::0,4::0,0
B PROTIN CHOCOLATE NUTRITION SUPPLEMENT BOTTLE OF 200 G,GENERAL MEDICINE,TUBE,0::0,1::0,0
B SKIN GRAFT BLADE 1 NO'S,GENERAL SURGERY,BOX,10::0,10::0,10
BABY CARE OIL,PED,BOTTLE,0::0,274::0,0
BABY CARE SHAMPOO,PED,BOX,0::0,0::0,0
BABY CARE WET WIPES 50'S,PED,BOTTLE,0::0,0::0,0
BABY CHOICE SILICON NIPPLE,PED,BOTTLE,0::0,0::0,0
BABY DOVE RICH MOISTURE WIPES 50 PCS,PED,PACKET,1::0,7::0,1
BABY FUN WET WIPES 80'S,PED,BOX,0::0,5::0,0
BABY POWDER - 50 GM,PED,PACKET,0::0,22::0,0
BABY WIPES 10'S,PED,PACKET,0::0,7::0,0
BABYDAY SOAP 75GM,PED,BOTTLE,0::0,1::0,0
BACIPEN 250MG CAP,GENERAL MEDICINE,PACKET,1::0,33::0,1
BACLOFEN TABLET 10,ORTH,BOX,0::0,1::0,0
BACLONOL 10MG TABLET 10'S,ORTH,STRIP,0::0,1::0,1
BACTISAFE SOLUTION 100 ML,GENERAL MEDICINE,STRIP,0::0,1::0,0
BACTIV BOTTLE OF 10 PROBIOTIC CAPSULES,GENERAL MEDICINE,STRIP,0::0,1::0,0
BACTOCLAV 375MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,4::0,11::0,4
BACTOCLAV 625MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,28::0,0
BAIDYANATH BALANT KADHA NO.1 LIQUID 200 ML,GENERAL MEDICINE,STRIP,7::8,96::0,1
BAIDYANATH BALANT KADHA NO.2 LIQUID 200 ML,GENERAL MEDICINE,STRIP,33::2,1313::0,0
BAIDYANATH SHATAVARI GRANULES 200GM,GENERAL MEDICINE,BOTTLE,1::0,4::0,1
BAJAJ COCONUT HAIR,GENERAL MEDICINE,BOTTLE,1::0,3::0,0
BANDAGE CLOTH 10CMX2.5M,HOSPITAL CPMH,CONTAINER,0::0,0::0,0
BANDAGE CLOTH 2 INCH,HOSPITAL CPMH,OIL,6::0,6::0,6
BANDY 400MG STRIP OF 1 TABLET,GENERAL MEDICINE,PACKET,28::0,30::0,28
BANDY 400MG STRIP OF 10 TABLETS,GENERAL MEDICINE,PACKET,0::0,0::0,0
BANDY ORAL SUSPENSION 10ML,PED,STRIP,0::0,192::0,0
BARD 14 F SILICONE FOLEY CATHETER 1 NO'S,HOSPITAL CPMH,STRIP,9::0,92::0,3
BARD 16 F SILICONE FOLEY CATHETER 1 NO'S,HOSPITAL CPMH,BOTTLE,3::0,14::0,1
BD CORD CLAMP,PED,PACKET,0::0,8::0,0
BD EXTENSION TUBE 200CM,HOSPITAL CPMH,PACKET,3::0,7::0,4
BD INSULIN ULTRAFINE 100 IU/31 G SYRINGE 1 ML,HOSPITAL CPMH,PACKET,3::0,7::0,4
BECOSULES CAP 15'S,GENERAL MEDICINE,CIRUIT,0::0,1::0,0
BECOSULES STRIP OF 20 CAPSULES,GENERAL MEDICINE,BOX,0::0,0::0,0
BENADRYL BOTTLE OF 100ML SYRUP,ENT,PACKET,0::0,10::0,0
BENALGIS 100MG TABLET,GENERAL MEDICINE,PACKET,0::0,2::0,0
BENDEX 400MG TABLET,GENERAL MEDICINE,PACKET,39::0,36::0,39
BENFOSULES STRIP OF 10 CAPSULES,GENERAL MEDICINE,BELT,2::0,2::0,0
BENZAC AC 2.5% TUBE OF 30GM GEL,GENERAL SURGERY,BELT,1::0,2::0,1
BEPLEX FORTE STRIP OF 20 TABLETS,GENERAL MEDICINE,BELT,1::0,2::0,0
BETADINE 10% OINT,GENERAL SURGERY,BELT,1::0,1::0,0
BETADINE 2% GARGLE BIG MINT 100ML,ENT,HINGES,0::0,1::0,0
BETADINE 200MG VAG PESSARIES,OBGY,BELT,1::0,2::0,1
BETNESOL INJ 8*1ML,GENERAL MEDICINE,TUBE,0::0,1::0,0
BETONIN AST SUGAR FREE BOTTLE OF 200ML SYRUP,GENERAL MEDICINE,AMPOULE,5::0,100::0,5
BISLERI WATER 1LTR,HOSPITAL CPMH,STRIP,0::0,1::0,0
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,GENERAL MEDICINE,BOTTLE,1::0,6::0,0
BLUVIT D3 BOTTLE OF 30ML ORAL DROPS,GENERAL MEDICINE,STRIP,0::14,14::0,0
BONEWAX W 810,GENERAL SURGERY,BOTTLE,1::0,4::0,0
BOOSTEX FORTE CAP 15'S,GENERAL MEDICINE,STRIP,10::8,61::0,2
BRO ZEDEX LIQUICAP,ENT,CAP,0::0,33::0,3
BRO ZEDEX SYP,ENT,STRIP,0::0,0::0,0
BROM 2.5MG TABLET,ENT,TUBE,0::0,5::0,0
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,ORTH,BOTTLE,0::0,1::0,0
BUDECORT 0.5MG PACKET OF 2.5ML RESPULES,ENT,SUSP,1::0,50::0,1
BENALGIS 100MG TABLET,GENERAL MEDICINE,STRIP,0::0,3::0,0
BENDEX 400MG TABLET,GENERAL MEDICINE,STRIP,7::0,25::0,7
BENFOSULES STRIP OF 10 CAPSULES,GENERAL MEDICINE,INJ,0::0,10::0,0
BENZAC AC 2.5% TUBE OF 30GM GEL,GENERAL SURGERY,STRIP,0::0,1::0,0
BEPLEX FORTE STRIP OF 20 TABLETS,GENERAL MEDICINE,TUBE,0::0,1::0,0
BETA NATURAL INTIMATE FOAM WASH - GENTLE PROTECTION - 100ML,GENERAL MEDICINE,STRIP,0::5,5::0,0
BETADINE 10% OINT,GENERAL SURGERY,BOTTLE,0::0,2::0,0
BETADINE 2% GARGLE BIG MINT 100ML,ENT,INJ,1::0,120::0,1
BETADINE 2% GARGLE MINT 50ML,ENT,TUBE,0::0,0::0,0
BETADINE 200MG VAG PESSARIES,OBGY,BOTTLE,0::0,40::0,0
BETADINE 5% OINT 25GM,GENERAL SURGERY,BOTTLE,4::0,165::0,5
BETADINE 7.5% SCRUB 50ML,GENERAL SURGERY,STRIP,3::2,16::0,0
BETAKIND GARGLE 2 % SYRUP 50 ML,ENT,TUBE,3::0,10::0,3
BETANI INJ,GENERAL MEDICINE,BOTTLE,1::0,6::0,1
BETASONE N DROPS 10ML,ENT,BOTTLE,0::0,2::0,0
BETNECORT INJ,GENERAL MEDICINE,INJ,17::0,20::0,2
BETNESOL INJ 8*1ML,GENERAL MEDICINE,INJ,0::0,10::0,0
BETNESOL N BOTTLE OF 5ML EYE/EAR DROPS,ENT,BOTTLE,0::0,1::0,0
BETNI INJ,GENERAL MEDICINE,INJ,0::0,50::0,5
BETNOVATE 0.1% CREAM 20GM,GENERAL SURGERY,INJECTION,1::0,1::0,1
BETNOVATE GM CREAM 20GM,GENERAL SURGERY,AMPOULE,5::0,2::0,5
BETNOVATE N TUBE OF 25GM CREAM,GENERAL SURGERY,BOTTLE,0::0,10::0,4
BETONIN AST BOTTLE OF 170ML SYRUP,GENERAL MEDICINE,AMPOULE,0::0,3::0,0
BETONIN AST SUGAR FREE BOTTLE OF 200ML SYRUP,GENERAL MEDICINE,INJ,0::0,100::0,0
BETT INJ 0.5ML,GENERAL MEDICINE,TUBE,4::0,72::0,3
BILAKAM M,GENERAL MEDICINE,TUBE,3::0,13::0,1
BILAMBIC M STRIP OF 10 TABLETS,GENERAL MEDICINE,TUBE,0::0,3::0,0
BILASTIHEAL M,GENERAL MEDICINE,BOTTLE,1::0,6::0,1
BILATOP M,GENERAL MEDICINE,BOTTLE,0::0,10::0,0
BINAFIDE,GENERAL MEDICINE,AMPOULE,1::0,0::0,1
BINAFIDE DUO,GENERAL MEDICINE,TAB,0::0,2::0,0
BIODINE OINT 125GM,GENERAL SURGERY,STRIP,4::0,32::0,3
BIOLINE WHITE PETROLEUM JELLY 8 GM,GENERAL SURGERY,TAB,2::0,2::0,0
BIPIVAC HEAVY INJ,GENERAL MEDICINE,TAB,0::0,10::0,0
BISLARI,HOSPITAL CPMH,RESPULES,38::0,180::0,3
BISLERI WATER 1LTR,HOSPITAL CPMH,RESPULES,21::0,140::0,11
BISLERI WATER 500ML,HOSPITAL CPMH,TUBE,1::0,10::0,1
BLADMIR 25MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,6::0,6::0,6
BLADMIR 50MG STRIP OF 10 TABLETS,GENERAL MEDICINE,INJECTION,0::0,10::0,0
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,GENERAL MEDICINE,BOTTLE,0::0,266::0,0
BLUVIT D3 BOTTLE OF 30ML ORAL DROPS,PED,BOTTLE,0::0,314::0,0
BISLERI WATER 500ML,HOSPITAL CPMH,BOTTLE,0::0,48::0,0
BLADMIR 25MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::0,3::0,0
BLADMIR 50MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,1::0,21::0,2
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,GENERAL MEDICINE,BLOOD SET,49::0,277::0,20
BLUVIT D3 BOTTLE OF 30ML ORAL DROPS,PED,STRIP,5::5,318::0,0
BON DK 60K STRIP OF 4 CAPSULES,GENERAL MEDICINE,BOTTLE,8::0,134::0,0
BONEWAX W 810,GENERAL SURGERY,STRIP,0::0,2::0,0
BOOSTEX FORTE CAP 15'S,GENERAL MEDICINE,BOX,0::0,4::0,0
BREAST PUMP WITH FEEDING BOTTLE,PED,STRIP,2::0,8::0,2
BRENTO SYRUP 200 ML,GENERAL MEDICINE,BOX,3::0,23::0,5
BRO ZEDEX LIQUICAP,ENT,BOTTLE,0::0,1::0,0
BRO ZEDEX SYP,ENT,STRIP,0::0,1::0,0
BROM 2.5MG TABLET,ENT,BOTTLE,2::0,2::0,2
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,ORTH,STRIP,0::1,10::0,2
BRUTAFLAM PG STRIP OF 10 TABLETS,ORTH,STRIP,8::8,715::0,0
BUDECORT 0.5MG,ENT,STRIP,2::1,36::0,5
