Medicine,Opening Stock,Purchase,Sales,Closing Stock
MONTICOPE TABLET,6::0,0,1,0
ZADY 500MG STRIP OF 5 TABLETS,0::0,0,1,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,2,1
NS 100ML INJECTION 100 MILLILITRE,207::0,0,4,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,2,0
ONDODER INJ 2ML,63::0,0,2,0
PANTOZEE 40MG INJ,14::0,0,2,0
RL 500ML BOTTLE 500 MILLILITRE,119::0,0,2,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,2,1
DNS BOTTLE 500 MILLILITRE,88::0,0,1,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,5,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,2,0
ONDODER INJ 2ML,63::0,0,2,0
PANTOZEE 40MG INJ,14::0,0,2,0
PARAZEX IV 100ML,0::0,0,1,0
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,0::0,0,1,2
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,2,0
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
ANAWIN 0.50MG INJ 20ML,0::0,0,2,0
ATROPINE SULPHATE INJ 1ML,6::0,0,1,2
CLONEON 150MCG INJ 1ML,4::0,0,1,1
DEXALAB INJ,100::0,0,1,28
DEXTOMID 100MCG INJ,0::0,0,1,0
DISPOVAN SYRINGE 10ML,414::0,0,5,0
DISPOVAN SYRINGE 2.5 ML,445::0,0,5,0
DISPOVAN SYRNGE 5ML,738::0,0,5,405
DNS BOTTLE 500 MILLILITRE,88::0,0,3,0
ELECTROSURGICAL PENCIL (VALLEYLAB),5::0,0,1,1
ETHILON 2 0 NW 3336,0::0,0,2,0
EXAMINATION GLOVES LOOSE (M),860::0,0,20,53
FLAMIPLAST BIG 4.6MTR 1,5::0,0,1,0
GERMBETA BOTTLE OF 100ML SOLUTION,50::0,0,2,0
LIGNOSON  GELLY 30GM,32::0,0,1,20
LOX WITH ADRE INJ 30ML,0::0,0,2,9
MASK REGULAR MASK 1,140::0,0,15,114
MOPPING  PAD 1,10::0,0,1,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,4,0
NULIFE GLOVES 7.5 1'S,0::0,0,8,42
PAINTAWIN  INJ 1ML,12::0,0,1,10
PLAIN SHEET D 301 200X120CM,3::0,0,2,0
PYROLATE INJ 1ML,14::0,0,1,0
SURGICAL BLADE 20,16::0,0,2,9
SURGICAL CAP  1 NO'S CP 1,22::0,0,15,30
SURGICAL GLOVES LATEX POWDER FREE,1::0,0,1,0
SURGICAL GLOVES LATEX POWDER FREE,46::0,0,2,0
SURGICAL GLOVES LATEX POWDER FREE,1::0,0,7,0
VACCUM SUCK SUCTION SET,0::0,0,1,0
VICRYL PLUS 2-0 VP 2382,9::0,0,2,0
WATER FOR INJ 10ML,63::0,0,10,0
MONTICOPE TABLET,6::0,0,3::5,0
SURGICAL GLOVES LATEX POWDER FREE,1::0,0,0,0
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,91::0,0,1,1
ALLERCET COLD TABLET,52::3,0,0::5,0::1
DEXALAB INJ,100::0,0,1,28
DISPOVAN SYRINGE 2.5 ML,445::0,0,5,0
DISPOVAN SYRNGE 5ML,738::0,0,3,405
ECG LEADS,45::0,0,5,25
ET TUBE CUFFED SIZE 5.0,3::0,0,1,2
EXAMINATION GLOVES LOOSE (M),860::0,0,20,53
ISOFLURANE INHALATION 100ML,1::0,0,1,0
KROVEC 10MG INJ,5::0,0,1,0
LIGNOSON  GELLY 30GM,32::0,0,1,20
MYO PYROLATE INJ 5ML,5::0,0,2,0
NEOROF 1% INJ 10ML,4::0,0,2,0
NULIFE GLOVES 7.5 1'S,0::0,0,4,42
ONDODER INJ 2ML,63::0,0,2,0
PAINTAWIN  INJ 1ML,12::0,0,1,10
PYROLATE INJ 1ML,14::0,0,1,0
SUCTION CATH NO 8,3::0,0,1,2
WATER FOR INJ 10ML,63::0,0,5,0
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,0::0,0,1,0
CUTICELL CLASSIC  DRESSING 1 PACKET,12::0,0,1,16
ESOIN DSR CAP 10S,0::0,0,1,0
HETRODOX LB CAP 10S,5::1,0,1,0::9
PLACENTRAX  GEL 20GM,4::0,0,1,0
AAPSON SHOULDER IMMOBILISER SPL (ELASTIC,0::0,0,1,0
ALLERCET COLD TABLET,52::3,0,1,0::1
AMPIROK 375 TAB 10,7::6,0,1,5::6
ESOIN DSR CAP 10S,0::0,0,1,0
NISE AP TAB 10S,0::0,0,0::2,6::6
TUSQ X BOTTLE OF 100ML EXPECTORANT,2::0,0,1,0
AVIL  INJ 2ML INJ 2ML AMPULS,0::0,0,0,0
CANDID POWDER - 100GM,0::0,0,0,0
CIR BED BATH WIPES 10S,36::0,0,0,3
DISPOVAN SYRINGE 2.5 ML,445::0,0,0,0
DISPOVAN SYRNGE 5ML,738::0,0,0,405
DNS BOTTLE 500 MILLILITRE,88::0,0,0,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,0,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,0,0
ONDODER INJ 2ML,63::0,0,0,0
PARAZEX IV 100ML,0::0,0,0,0
WATER FOR INJ 10ML,63::0,0,0,0
ALLERCET COLD TABLET,52::3,0,1,0::1
ENERZIP POWDER,650::0,0,10,26
ESOIN DSR CAP 10S,0::0,0,1,0
ULYSES 300MG STRIP OF 15 TABLETS,3::0,0,0::5,0
ZENFLOX PLUS 200MG TABLET,0::0,0,1,0
ANOEASE CAP 4'S,9::0,0,3,0
FEMILON TABLET,0::0,0,1,4
MEFTAL FORTE TAB 10S,4::2,0,0::3,0
SYLATE T 500MG TABLET,3::5,0,0::6,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,4,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,2,0
PARAZEX IV 100ML,0::0,0,4,0
RL 500ML BOTTLE 500 MILLILITRE,119::0,0,2,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,2,0
TROYPIPERA T 4.5GM INJ,52::0,0,4,5
3 WAY STOP COCK 1'S,0::0,0,1,10
DISPOVAN SYRINGE 10ML,414::0,0,2,0
DISPOVAN SYRINGE 2.5 ML,445::0,0,2,0
EXAMINATION GLOVES LOOSE (M),860::0,0,10,53
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,61::0,0,1,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,4,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,3,0
ONDODER INJ 2ML,63::0,0,4,0
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,0::0,0,2,2
REETAC INJ 2ML,0::0,0,4,0
RL 500ML BOTTLE 500 MILLILITRE,0::0,0,3,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,4,0
ZEMOXY INJ 1.2GM,0::0,0,4,0
ANAWIN 0.50MG INJ 20ML,0::0,0,2,0
COTTON BANDAGE 15CMX9M,13::0,0,1,0
DISPOVAN SYRINGE 10ML,414::0,0,2,0
DISPOVAN SYRNGE 5ML,738::0,0,2,405
ETHILON 3 0 NW 3328,0::0,0,2,3
EXAMINATION GLOVES LOOSE (M),860::0,0,20,53
GERMBETA BOTTLE OF 100ML SOLUTION,50::0,0,1,0
LOX WITH ADRE INJ 30ML,0::0,0,2,9
MASK REGULAR MASK 1,140::0,0,5,114
NEEDLE NO.18*1.5,94::0,0,1,0
NULIFE GLOVES 7.5 1'S,0::0,0,2,42
PRIME PAD SOFT ROLL 1,12::0,0,1,5
PRIME POP 1,12::0,0,3,3
SURGICAL BLADE 20,16::0,0,1,9
SURGICAL CAP  1 NO'S CP 1,22::0,0,5,30
SURGICAL GLOVES LATEX POWDER FREE,1::0,0,3,0
VICRYL 2-0 RB NW2317,0::0,0,1,0
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,1,0
LABEBET 100MG TABLET,2::0,0,1,0
MEFTAL FORTE TAB 10S,4::2,0,0::3,0
PAUSE MF STRIP OF 10 TABLETS,5::0,0,0::6,0
CIPLADINE BOTTLE OF 10GM POWDER,0::0,0,1,0
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,1,0
SUPRACAL HD STRIP OF 15 TABLETS,3::0,0,0::7,0::3
MS SPA 80MG TAB,15::5,0,0::2,0::9
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::10,0
DVITAL 60K STRIP OF 4 TABLETS,13::0,0,1,0
VITAGREAT STRIP OF 10 TABLETS,10::0,0,2,0
ALLERCET COLD TABLET,52::3,0,0::6,0::1
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::10,0
LINOWIN 600MG TAB,41::4,0,0::6,0::4
ENERZIP POWDER,650::0,0,5,26
HETRODOX LB CAP 10S,5::1,0,0::5,0::9
RABECID DSR CAP 10S,31::8,0,0::5,9::5
ANAWIN 0.50MG INJ 20ML,5::0,0,1,0
COTTON BANDAGE 15CMX9M,13::0,0,1,0
CUTICELL CLASSIC  DRESSING 1 PACKET,12::0,0,2,16
DISPOVAN SYRINGE 10ML,414::0,0,1,0
ETHILON 2 0 NW 3336,0::0,0,2,0
EXAMINATION GLOVES LOOSE (M),860::0,0,12,53
GAMJEE ROLL 15CM,0::0,0,1,0
GERMBETA BOTTLE OF 100ML SOLUTION,50::0,0,2,0
LOCAM A  INJ 30ML,5::0,0,2,0
NEEDLE NO.18*1.5,94::0,0,1,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,1,0
NULIFE GLOVES 7.5 1'S,0::0,0,2,42
SURGICAL BLADE 15,12::0,0,1,1
SURGICAL GLOVES LATEX POWDER FREE,1::0,0,2,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,1,0::-2
MONTICOPE A STRIP OF 10 TABLETS,3::8,0,1,0::8
PULMOCARE STRAWBERRY FLAVOUR TIN OF 200GM POWDER,0::0,0,1,0
RESPISMART N  TAB 10S,8::1,0,1,5::9
PAN 40MG STRIP OF 15 TABLETS,5::10,0,0::3,0::3
SYLATE T 500MG TABLET,3::5,0,0::6,0
GDRESS 15 8X15CM,0::0,0,2,4
NS 100ML INJECTION 100 MILLILITRE,207::0,0,0,0
DABUR STRESSCOM 10 CAPS,0::5,0,0,0
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,1,0
TRICIUM XT BOTTLE OF 30 TABLETS,17::0,0,1,0
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,0::0,0,0::5,0
CALDIKIND PLUS STRIP OF 10 CAPSULES,0::0,0,1::5,0
ESOIN DSR CAP 10S,0::0,0,0::5,0
CALDIKIND PLUS STRIP OF 10 CAPSULES,0::0,6,0,0
PAN 80MG STRIP OF 15 TABLETS,0::0,4,0,2
PULMOCARE STRAWBERRY FLAVOUR TIN OF 200GM POWDER,0::0,2,0,0
THICKSHOOT CAP 10S,0::0,1,0,0
ULYSES 300MG STRIP OF 15 TABLETS,0::0,3,0,0
TINIBA INFUSION 400ML,0::0,0,2,0
CYCLOFIT SP TABLET,21::3,0,0::5,0
PAN 80MG STRIP OF 15 TABLETS,3::0,0,0::5,0
RIFAKEM 400 STRIP OF 10 TABLETS,0::0,0,1,0
ESOIN DSR CAP 10S,0::0,0,1,0
HETRODOX LB CAP 10S,5::1,0,1,0::9
STILOZ 50MG TAB 15'S,0::0,0,0::10,0
TENOBEL TAB 10S,0::0,0,1,6::5
CYCLOFIT SP TABLET,21::3,0,1,0
HIMALAYA LIV.52 TABLETS - 100'S,0::0,0,1,0
BANDY 400MG STRIP OF 10 TABLETS,6::0,0,1,0
CALDIKIND SUSP 200ML,1::0,0,1,0
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,0::0,0,1,0
ESOIN DSR CAP 10S,0::0,0,1,0
NUROLITE INJECTION 2ML,0::0,0,1,2
QLINK PD 75/20 TAB 10S,15::5,0,1::5,21::8
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,61::0,0,1,0
3 WAY STOP COCK 1'S,0::0,0,1,10
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,1,1
D PAIN AQ INJ 1ML,31::0,0,1,2
DISPOVAN SYRINGE 10ML,414::0,0,1,0
DISPOVAN SYRINGE 2.5 ML,445::0,0,1,0
DISPOVAN SYRNGE 5ML,738::0,0,1,405
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
ETHILON 3 0 NW 3328,7::0,0,1,1
EXAMINATION GLOVES LOOSE (M),860::0,0,10,53
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,61::0,0,1,0
NEEDLE NO.18*1.5,94::0,0,2,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,2,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,1,0
ONDODER INJ 2ML,63::0,0,1,0
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,0::0,0,2,2
ENEMA BOTLE ENEMA 1,10::0,0,1,12
DISPOVAN SYRINGE 10ML,414::0,0,1,0
DISPOVAN SYRINGE 2.5 ML,445::0,0,1,0
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,91::0,0,1,1
NS 500ML INJECTION 500 MILLILITRE,0::0,0,1,0
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,0::0,0,2,2
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,0,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,1,0::-2
ESOIN DSR CAP 10S,0::0,0,1,0
TRAMADIN PLUS TAB 10'S,0::0,0,1,0::1
ANKLE BINDER MEDIUM 1,0::0,0,1,2
DOLO 650MG STRIP OF 15 TABLETS,0::0,0,0::2,0
ULTRAKING  TAB 15S,5::6,0,0::2,0::1
ONFUROX 500 MG TAB 10S,0::0,36,0,0
DULCOFLEX 5MG SUPPOSITORY FOR CHILDREN - 5'S,5::0,0,1,2
EXAMINATION GLOVES LOOSE (M),860::0,0,2,53
3 WAY STOP COCK 1'S,0::0,0,1,10
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,3,1
DISPOVAN SYRINGE 10ML,414::0,0,3,0
DISPOVAN SYRINGE 2.5 ML,445::0,0,3,0
DNS BOTTLE 500 MILLILITRE,88::0,0,2,0
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
ETHILON 2 0 NW 3336,0::0,0,1,0
EXAMINATION GLOVES LOOSE (M),860::0,0,10,53
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,61::0,0,1,0
NEEDLE NO.18*1.5,94::0,0,2,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,6,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,2,0
ONDODER INJ 2ML,63::0,0,3,0
PANTOZEE 40MG INJ,14::0,0,3,0
PARAZEX IV 100ML,0::0,0,2,0
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,0::0,0,2,2
RAZORS GALANT 1,40::0,0,1,6
RL 500ML BOTTLE 500 MILLILITRE,0::0,0,2,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,3,0
ATARAX 10MG STRIP OF 15 TABLETS,0::0,0,0::5,0::5
ULYSES 300MG STRIP OF 15 TABLETS,0::6,0,0::6,0
ALLERCET COLD TABLET,52::3,0,1,0::1
CARILITE  SYP 200ML,2::0,0,1,6
ESOIN DSR CAP 10S,0::0,0,1,0
ZENFLOX PLUS 200MG TABLET,0::0,0,1,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,2,1
DNS BOTTLE 500 MILLILITRE,88::0,0,2,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,4,0
ONDODER INJ 2ML,63::0,0,2,0
PANTOZEE 40MG INJ,14::0,0,2,0
SANDU STRESAN TAB 10S,6::0,0,0::5,2
NS 100ML INJECTION 100 MILLILITRE,207::0,0,4,0
GLYCOMET GP1 FORTE TAB,5::0,0,1,0
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,1,0
ISTAMET 50/500MG TABLET 15'S,0::0,0,1,0
DVITAL 60K STRIP OF 4 TABLETS,13::0,0,1,0
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,1,0
AD 100MG CAPSULE,3::3,0,1,0
ZINCONIA 50MG TABLET,3::0,0,1,0
UPTRACE INJ 3ML,22::0,0,3,0
MVI AMPOULE OF 10ML INJECTION,20::0,0,2,5
PAN 40MG STRIP OF 15 TABLETS,5::10,0,1,0::3
WRIST BRACE COMMON,7::0,0,1,2
ARGIHOPE 1000MG TABLET,0::0,0,0,0
DUVADILAN RETARD 40MG CAP,0::0,0,0,0
ENERZIP POWDER,650::0,0,0,26
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,0,0
IMVITA PROTIN  POWDER 200GM,39::0,0,0,0
A TO Z NS STRAWBERRY FLAVOUR BOTTLE OF 15ML DROPS,5::0,0,1,0
BLUVIT D3 BOTTLE OF 30ML ORAL DROPS,8::0,0,1,0
TRANDPORE  TAP 2.5CM,0::0,0,1,9
EMTY BOTTLE OF 100ML SOLUTION,9::0,0,1,0
ECOSPRIN 150MG STRIP OF 14 TABLETS,0::0,0,1,0::8
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,0,1
D PAIN AQ INJ 1ML,31::0,0,0,2
DEXALAB INJ,100::0,0,0,28
DEXTROSE 5% & 0.9% SODIUM CHL INJ 500ML,17::0,0,0,8
DISPOVAN SYRNGE 5ML,738::0,0,0,405
DNS BOTTLE 500 MILLILITRE,88::0,0,0,0
GENTAVEE 2ML INJ AMP,25::0,0,0,52
METERKEM IV BOTTLE OF 100ML INFUSION,103::0,0,0,0
NEEDLE NO.18*1.5,94::0,0,0,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,0,0
REETAC INJ 2ML,0::0,0,0,0
RL 500ML BOTTLE 500 MILLILITRE,0::0,0,0,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,0,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,0,0
G DRESS COMFY DRESSING 14 X 7 CM WOUND PAD 3 X 10 CM GD15 100 NO'S,0::0,0,3,37
HIMALAYA LIV.52 TABLETS - 100'S,0::0,3,0,1
LOMOTIL STRIP OF 20 TABLETS,0::0,2,0,0::15
NUROKIND GOLD INJECTION,0::0,12,0,0
SUPRACAL HD STRIP OF 15 TABLETS,3::0,5,0,0::3
NS 500ML INJECTION 500 MILLILITRE,0::0,0,1,0
PARAZEX IV 100ML,0::0,0,3,0
RL 500ML BOTTLE 500 MILLILITRE,119::0,0,1,0
TROYPIPERA T 4.5GM INJ,52::0,0,1,5
QLINK PD 75/20 TAB 10S,15::5,0,1::5,21::8
ESOIN DSR CAP 10S,0::0,0,1,0
HISTAFREE M TABLET,6::0,0,1,1::5
RESPISMART N  TAB 10S,8::1,0,1,5::9
ZADY 500MG STRIP OF 5 TABLETS,0::0,0,1,0
PRO-EASE PADS XL,1::0,0,1,6
MS SPA 80MG TAB,15::5,0,0::5,0::9
PFANTO D 40MG CAPSULE,39::2,0,0::3,0::6
PRO-EASE PADS XL,1::0,0,1,6
FEMILON TABLET,0::0,0,1,4
MEFTAL FORTE TAB 10S,4::2,0,0::5,0
TRAZER M FORTE STRIP OF 10 TABLETS,0::0,0,1,1
ENERZIP POWDER,650::0,0,5,26
G DRESS COMFY DRESSING 14 X 7 CM WOUND PAD 3 X 10 CM GD15 100 NO'S,0::0,0,2,37
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,1,0
SYLATE T 500MG TABLET,3::5,0,0::6,0
ACICA MR TAB 10S,6::2,0,0::5,20::6
RIVAXA 10MG STRIP OF 14 TABLETS,0::0,0,0::7,0
ARGIHOPE 1000MG TABLET,0::0,0,1,0
SUPRACAL HD STRIP OF 15 TABLETS,3::0,0,0::10,0::3
BETNOVATE 0.1% CREAM 20GM,0::0,0,1,0
FEMILON TABLET,0::0,0,1,4
FLUSHIT SYP SYR 100ML,9::0,0,1,0
OKACET 10MG TABLET,0::0,0,0::2,0::6
ZENTAL STRIP OF 1 TABLET,0::0,0,2,0
TENOBEL TAB 10S,0::0,0,1,6::5
CYCLOFIT SP TABLET,21::3,0,1,0
LIVOMYN BOTTLE OF 200ML SYRUP,2::0,0,1,0
AVIL 25MG STRIP OF 15 TABLETS,0::0,0,1,0::10
ACICA MR TAB 10S,6::2,0,1,20::6
ESOIN DSR CAP 10S,0::0,0,1,0
ONFUROX 500 MG TAB 10S,0::0,0,1,0
TINIBA INFUSION 400ML,0::0,4,0,0
TRAMADIN PLUS TAB 10'S,0::0,0,1,0::1
TOTALAX NF SYP 100ML,16::0,0,1,0
TOTALAX NF SYP 100ML,16::0,0,1,0
SUCRAFIL O GEL 200ML,0::0,0,1,0
ACICA MR TAB 10S,6::2,0,1,20::6
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,3,1
NEEDLE NO.18*1.5,94::0,0,2,0
NERVIJEN INJ 2ML,0::0,0,2,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,5,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,3,0
ONDODER INJ 2ML,63::0,0,3,0
PANTOZEE 40MG INJ,14::0,0,3,0
TOTALAX NF SYP 100ML,16::0,0,1,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,3,0
ULTRAHEAL TAB TAB 10,0::0,0,1,0
PRO-EASE PADS XL,1::0,0,1,6
HIMALAYA LIV.52 TABLETS - 100'S,0::0,0,1,0
CHYMOTAKE TAB 10 TAB STRIP,1::5,0,0,0
SITAXA D 10/100 TAB 10,1::0,0,0,-1
SITAXA D 10/100 TAB 10,1::0,0,0,-1
TESS PASTE 5GM,7::0,0,1,0
ENZORUX FORTE  TAB 10S,1::0,0,1,0
VEINFLUX NC  TAB 10,4::0,0,1,0
ALLERCET COLD TABLET,52::3,0,0::5,0::1
ZADY 500MG STRIP OF 5 TABLETS,2::0,0,0::2,0
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,91::0,0,1,1
NS 500ML INJECTION 500 MILLILITRE,0::0,0,1,0
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,0::0,0,1,0
ELIWEL 10MG TABLET,2::0,0,0::5,0::5
ENZOX PLUS TABLET,14::0,0,1,0
PAN 80MG STRIP OF 15 TABLETS,3::0,0,0::10,0
MS SPA 80MG TAB,15::5,0,0::5,0::9
